team_id,team_name,group_code,confederation,is_host,host_country,fifa_rank,fifa_points,current_elo,as_of_date,matches_last_5,wins_last_5,points_avg_last_5,goal_diff_avg_last_5,matches_last_10,wins_last_10,points_avg_last_10,goals_for_avg_last_10,goals_against_avg_last_10,goal_diff_avg_last_10,avg_opponent_elo_last_10,days_since_last_match
MEX,Mexico,A,CONCACAF,1,Mexico,14,1687.48,1834.39,2026-06-11,5,3,2.2,1.4,10,6,2.1,1.6,0.4,1.2,1692.2334300595771,7
RSA,South Africa,A,CAF,0,,60,1428.38,1621.19,2026-06-11,5,1,1.0,-0.2,10,5,1.7,1.5,1.0,0.5,1544.5377821447837,5
KOR,Korea Republic,A,AFC,0,,25,1591.63,1789.19,2026-06-11,5,3,1.8,0.4,10,6,1.9,1.5,1.2,0.3,1643.493106171254,8
CZE,Czechia,A,UEFA,0,,40,1505.74,1599.61,2026-06-11,5,3,2.2,2.2,10,5,1.9,2.2,0.9,1.3,1459.391570733888,7
CAN,Canada,B,CONCACAF,1,Canada,30,1559.48,1753.36,2026-06-11,5,2,1.8,0.8,10,4,1.7,1.1,0.4,0.7,1670.2120963230889,6
BIH,Bosnia and Herzegovina,B,UEFA,0,,64,1387.22,1485.3,2026-06-11,5,0,1.0,0.0,10,3,1.5,2.0,1.0,1.0,1498.8006337872348,5
QAT,Qatar,B,AFC,0,,56,,1495.96,2026-06-11,5,0,0.4,-1.0,10,1,0.7,0.7,1.5,-0.8,1518.2356763756616,5
SUI,Switzerland,B,UEFA,0,,19,1650.06,1758.43,2026-06-11,5,1,1.2,0.4,10,5,1.9,2.2,0.8,1.4,1602.9553854108206,5
BRA,Brazil,C,CONMEBOL,0,,6,1765.86,1844.8,2026-06-11,5,3,2.0,1.2,10,6,1.9,2.5,1.1,1.4,1749.4718786022909,5
MAR,Morocco,C,CAF,0,,7,1755.1,1910.04,2026-06-11,5,3,2.2,2.0,10,7,2.4,2.2,0.3,1.9,1614.5951832256,4
HAI,Haiti,C,CONCACAF,0,,83,,1615.71,2026-06-11,5,2,1.4,0.8,10,4,1.5,1.5,1.0,0.5,1536.3515392842633,6
SCO,Scotland,C,UEFA,0,,42,1503.34,1675.34,2026-06-11,5,3,1.8,1.4,10,6,1.9,2.1,1.0,1.1,1594.1075372058842,5
USA,United States,D,CONCACAF,1,United States,17,1671.23,1696.25,2026-06-11,5,2,1.2,-0.2,10,5,1.6,1.8,1.7,0.1,1810.437732567224,5
PAR,Paraguay,D,CONMEBOL,0,,41,1505.35,1718.99,2026-06-11,5,3,1.8,0.8,10,4,1.4,1.2,1.0,0.2,1723.804154364346,6
AUS,Australia,D,AFC,0,,27,1579.34,1808.93,2026-06-11,5,2,1.4,0.2,10,5,1.6,1.3,1.0,0.3,1706.101471644895,5
TUR,Türkiye,D,UEFA,0,,22,1605.73,1816.71,2026-06-11,5,4,2.6,1.4,10,8,2.5,2.5,1.3,1.2,1599.0199734395696,5
GER,Germany,E,UEFA,0,,10,1735.77,1841.94,2026-06-11,5,5,3.0,2.6,10,9,2.7,2.8,0.8,2.0,1531.0923600625435,5
CUW,Curaçao,E,CONCACAF,0,,82,,1587.32,2026-06-11,5,1,0.8,-1.0,10,4,1.5,1.9,1.4,0.5,1466.6294022104012,5
CIV,Côte d’Ivoire,E,CAF,0,,33,1540.87,1757.66,2026-06-11,5,4,2.4,1.6,10,7,2.2,1.9,0.8,1.1,1628.515391813845,7
ECU,Ecuador,E,CONMEBOL,0,,23,1598.52,1836.71,2026-06-11,5,3,2.2,1.2,10,4,1.8,1.2,0.5,0.7,1743.5035731217645,4
NED,Netherlands,F,UEFA,0,,8,1753.57,1863.92,2026-06-11,5,3,2.0,1.0,10,6,2.1,2.2,0.8,1.4,1569.458329761066,3
JPN,Japan,F,AFC,0,,18,1661.58,1878.47,2026-06-11,5,5,3.0,1.6,10,7,2.3,1.9,0.6,1.3,1673.619950114194,11
SWE,Sweden,F,UEFA,0,,38,1509.79,1556.3,2026-06-11,5,2,1.6,0.2,10,2,0.9,1.3,2.0,-0.7,1599.448407360737,7
TUN,Tunisia,F,CAF,0,,45,1476.41,1682.02,2026-06-11,5,1,1.0,-1.0,10,3,1.3,1.3,1.4,-0.1,1566.1409445559966,5
BEL,Belgium,G,UEFA,0,,9,1742.24,1784.58,2026-06-11,5,4,2.6,3.4,10,7,2.4,3.7,0.6,3.1,1518.980610895619,5
EGY,Egypt,G,CAF,0,,29,1562.37,1736.36,2026-06-11,5,2,1.6,0.8,10,5,1.8,1.3,0.6,0.7,1691.268460256778,5
IRN,Iran,G,AFC,0,,20,1619.58,1785.53,2026-06-11,5,3,2.0,1.6,10,5,1.7,1.7,0.6,1.1,1542.5244720835922,7
NZL,New Zealand,G,OFC,0,,85,,1635.4,2026-06-11,5,1,0.6,-1.2,10,1,0.4,0.7,1.8,-1.1,1720.3793802581345,5
ESP,Spain,H,UEFA,0,,2,1874.71,2083.4,2026-06-11,5,2,1.8,1.0,10,7,2.4,2.8,0.4,2.4,1602.426359543367,3
CPV,Cape Verde,H,CAF,0,,67,,1607.32,2026-06-11,5,1,1.0,-0.4,10,4,1.6,1.6,1.2,0.4,1543.4623635154103,5
KSA,Saudi Arabia,H,AFC,0,,61,,1606.91,2026-06-11,5,1,0.8,-0.6,10,4,1.3,1.2,1.3,-0.1,1637.2137859278191,2
URU,Uruguay,H,CONMEBOL,0,,16,1673.07,1778.54,2026-06-11,5,1,1.2,-0.6,10,4,1.6,1.0,0.9,0.1,1685.453751604657,72
FRA,France,I,UEFA,0,,3,1870.7,1979.77,2026-06-11,5,4,2.4,1.2,10,8,2.5,2.5,0.9,1.6,1587.131308898533,3
SEN,Senegal,I,CAF,0,,15,1684.07,1841.01,2026-06-11,5,2,1.4,0.0,10,6,2.0,1.6,0.9,0.7,1605.045556211693,2
IRQ,Iraq,I,AFC,0,,57,,1659.29,2026-06-11,5,2,1.4,-0.2,10,5,1.7,1.1,1.0,0.1,1602.0726597434489,2
NOR,Norway,I,UEFA,0,,31,1557.44,1803.7,2026-06-11,5,2,1.6,0.8,10,6,2.1,3.1,0.8,2.3,1594.402702101031,4
ARG,Argentina,J,CONMEBOL,0,,1,1877.27,1977.1,2026-06-11,5,5,3.0,2.6,10,8,2.5,2.5,0.3,2.2,1560.0816567073089,2
ALG,Algeria,J,CAF,0,,28,1571.03,1802.32,2026-06-11,5,3,2.0,2.0,10,7,2.3,2.1,0.4,1.7,1596.7097551430477,1
AUT,Austria,J,UEFA,0,,24,1597.4,1717.2,2026-06-11,5,4,2.6,1.6,10,8,2.5,2.7,0.4,2.3,1426.6539634253145,10
JOR,Jordan,J,AFC,0,,63,,1675.29,2026-06-11,5,0,0.4,-1.2,10,5,1.7,1.7,1.5,0.2,1658.774714275308,4
POR,Portugal,K,UEFA,0,,5,1767.85,1858.26,2026-06-11,5,4,2.6,2.4,10,7,2.3,2.6,0.9,1.7,1573.0651492472912,1
COD,Congo DR,K,CAF,0,,46,1474.43,1682.63,2026-06-11,5,2,1.4,0.2,10,5,1.8,1.1,0.5,0.6,1566.372726428605,2
UZB,Uzbekistan,K,AFC,0,,50,1458.73,1746.42,2026-06-11,5,1,1.0,-0.2,10,4,1.5,1.4,0.9,0.5,1629.7856648499285,3
COL,Colombia,K,CONMEBOL,0,,13,1698.35,1841.35,2026-06-11,5,3,1.8,0.8,10,7,2.2,2.5,1.0,1.5,1714.154775548129,4
ENG,England,L,UEFA,0,,4,1828.02,1942.3,2026-06-11,5,3,2.0,1.0,10,8,2.5,2.4,0.2,2.2,1586.6932828160354,1
CRO,Croatia,L,UEFA,0,,11,1714.87,1807.76,2026-06-11,5,3,1.8,-0.2,10,7,2.2,1.9,1.0,0.9,1505.215187467636,4
GHA,Ghana,L,CAF,0,,73,,1602.63,2026-06-11,5,0,0.2,-1.6,10,3,1.1,1.1,1.4,-0.3,1640.4871222844456,9
PAN,Panama,L,CONCACAF,0,,34,1539.16,1734.68,2026-06-11,5,2,1.6,-0.2,10,4,1.6,1.8,1.6,0.2,1566.6404787664442,5
